AGE,immig_cohort,weighted_count,count,weighted_mean
68,1960s,281443,11989,2.6448374981790272
69,1960s,274437,11858,2.5874462991506246
70,1960s,276986,11829,2.5970446159733704
71,1960s,254003,10861,2.537454282036039
72,1960s,252390,10615,2.583632473552835
73,1960s,244256,10179,2.526410814882746
74,1960s,239172,9798,2.515461676115933
75,1960s,241476,9601,2.5158400834865575
76,1960s,223569,8967,2.4420603929882945
77,1960s,206471,8384,2.431295436162948
78,1960s,211142,8049,2.424330545320211
79,1960s,199111,7478,2.423999678571249
80,1960s,186061,6890,2.454582099419008
81,1960s,165810,5980,2.393914721669381
82,1960s,154833,5655,2.3805713252342846
83,1960s,135687,4848,2.45329324106215
84,1960s,115384,4043,2.3671479581224433
85,1960s,110847,3626,2.3794509549198444
86,1960s,85975,3001,2.357801686536784
87,1960s,75997,2509,2.4824006210771477
88,1960s,58736,1968,2.457794197766276
89,1960s,47522,1550,2.3151172088716803
90,1960s,34514,1263,2.5423885959320853
91,1960s,9378,301,2.403710812539987
92,1960s,12735,367,2.475461327051433
93,1960s,27217,1204,2.5781313149869565
94,1960s,46369,1358,2.4243783562293775
95,1960s,25703,668,2.1895887639575147
0,1970s,26600,1330,5.11203007518797
1,1970s,35360,1768,5.025452488687783
2,1970s,45640,2282,4.939526730937774
3,1970s,51960,2598,5.102001539645881
4,1970s,64520,3226,5.220706757594544
5,1970s,75720,3786,5.314580031695721
6,1970s,81820,4091,5.484478122708384
7,1970s,90380,4519,5.527329055100686
8,1970s,95400,4770,5.59433962264151
9,1970s,105800,5290,5.6671077504725895
10,1970s,98300,4915,5.732858596134283
11,1970s,132761,6658,5.715616785049827
12,1970s,151464,7521,5.65711984365922
13,1970s,162976,8092,5.604334380522285
14,1970s,171638,8520,5.592928139456298
15,1970s,189311,9408,5.520149383818161
16,1970s,203430,10230,5.378906749250357
17,1970s,225317,11251,5.292112889839649
18,1970s,222912,11033,5.105606696813092
19,1970s,236198,11683,4.896430113718152
20,1970s,255004,12409,4.589202522313376
21,1970s,255898,12354,4.394743218000922
22,1970s,273671,13217,4.1843417826514315
23,1970s,297482,14276,4.010609045253158
24,1970s,316498,15226,3.89258383939235
25,1970s,346720,16566,3.8382152745731424
26,1970s,351852,16716,3.8181422870979844
27,1970s,382445,18201,3.8327184301010604
28,1970s,383261,18167,3.871236572466283
29,1970s,422383,19989,3.869185076103915
30,1970s,456233,21579,3.939728165213827
31,1970s,419224,19751,4.000140736217392
32,1970s,447388,21024,4.0933552084544065
33,1970s,447827,20960,4.166133350601907
34,1970s,448788,20902,4.2151416704546465
35,1970s,469961,21860,4.28865586718898
36,1970s,468669,21640,4.302388252690065
37,1970s,478234,22214,4.341813840086652
38,1970s,480282,22181,4.353858774636568
39,1970s,495939,23041,4.34341723478089
40,1970s,528138,24238,4.335372573077491
41,1970s,484648,22274,4.300820389230947
42,1970s,519014,23615,4.267410898357269
43,1970s,519134,23402,4.269548902595476
44,1970s,512452,22532,4.165441836503711
45,1970s,560519,24304,4.099885998512093
46,1970s,548792,23020,4.014234901383402
47,1970s,566692,23456,3.945413028594016
48,1970s,583417,23642,3.9053490042285364
49,1970s,593199,24044,3.8141112847459286
50,1970s,619526,25120,3.750186432853504
51,1970s,567246,22542,3.6227403983456914
52,1970s,581538,23177,3.5689894727429676
53,1970s,556435,22171,3.4936641296827124
54,1970s,528157,21154,3.487832216556819
55,1970s,517666,21062,3.4114235820007495
56,1970s,478890,19871,3.3789513249389214
57,1970s,483721,19806,3.333471153826276
58,1970s,477417,19336,3.2470754078719444
59,1970s,478855,19245,3.215965166908563
60,1970s,497669,19543,3.18373657993566
61,1970s,460519,18250,3.170338248801895
62,1970s,469956,18261,3.1038480198146208
63,1970s,446594,17501,3.088086718585561
64,1970s,452540,17058,3.0428602996420206
65,1970s,435123,16816,3.0167515851839597
66,1970s,406773,15388,3.005152751042965
67,1970s,411342,15176,2.960718817917937
68,1970s,395811,14491,2.8884972878469775
69,1970s,373392,13985,2.8721531259373525
70,1970s,388209,13569,2.862324160439351
71,1970s,346789,12267,2.785105640605671
72,1970s,333566,11634,2.7711007716613802
73,1970s,301083,10604,2.792754821760113
74,1970s,277278,9768,2.8602882305844677
75,1970s,261610,8935,2.741275180612362
76,1970s,231190,7870,2.7671785111812794
77,1970s,203120,6802,2.680947223316266
78,1970s,175839,6201,2.8211773269866183
79,1970s,162788,5467,2.617496375654225
80,1970s,141850,4864,2.698597109622841
81,1970s,113550,4013,2.6881902245706737
82,1970s,109303,3629,2.685241942124187
83,1970s,88588,3022,2.6362938546981534
84,1970s,80731,2736,2.8106551386703993
85,1970s,75403,2568,2.77894778722332
86,1970s,61100,2072,2.7806546644844516
87,1970s,50987,1633,2.7185360974366013
88,1970s,43099,1465,2.7573261560593054
89,1970s,32365,1091,2.7758689942839485
90,1970s,28701,947,2.765687606703599
91,1970s,6854,190,2.6768310475634665
92,1970s,14249,390,2.9158537441223946
93,1970s,28646,1192,3.1889967185645465
94,1970s,39531,1217,2.74250588146012
95,1970s,14113,420,2.538227166442287
0,1980s,43678,2071,5.520834287284217
1,1980s,77956,3742,5.224293191030838
2,1980s,104079,5086,5.184484862460247
3,1980s,115008,5574,5.202707637729549
4,1980s,121505,6037,5.30978972058763
5,1980s,140117,6695,5.367742672195379
6,1980s,144786,6984,5.4135482712416945
7,1980s,151083,7319,5.457040169972797
8,1980s,151231,7306,5.480258677123077
9,1980s,167877,8106,5.4650845559546575
10,1980s,182423,8808,5.53105693909211
11,1980s,187768,9039,5.529296791785608
12,1980s,215731,10342,5.493234630164418
13,1980s,225052,10838,5.532321419049819
14,1980s,244471,11756,5.51871592131582
15,1980s,262791,12776,5.476116000928495
16,1980s,274276,13393,5.4394660852571866
17,1980s,299980,14670,5.452316821121408
18,1980s,319531,15261,5.407810196819714
19,1980s,334787,15945,5.242604999596758
20,1980s,405317,18677,5.027070169768354
21,1980s,412999,18768,4.855108608011157
22,1980s,449815,20347,4.66286139857497
23,1980s,484836,21764,4.5336526165548765
24,1980s,507235,22822,4.4069001547606135
25,1980s,571494,24965,4.263173366649519
26,1980s,583745,25438,4.24920984333913
27,1980s,619332,27099,4.273131373802742
28,1980s,625489,27378,4.216592138310985
29,1980s,639678,28170,4.168719261878633
30,1980s,720842,31371,4.184205415333735
31,1980s,673865,29702,4.181819800701921
32,1980s,725682,31880,4.276757588034428
33,1980s,733721,31838,4.3276081780404265
34,1980s,771382,32615,4.318097907392187
35,1980s,851644,34717,4.328104231345492
36,1980s,833201,33687,4.34939708425698
37,1980s,848955,33794,4.322628407866142
38,1980s,869766,33632,4.308267970925513
39,1980s,861306,33548,4.307660692018865
40,1980s,944312,36175,4.290830784740637
41,1980s,837689,32283,4.259906719558213
42,1980s,877853,32979,4.224350773990634
43,1980s,852972,32160,4.223620470542995
44,1980s,822267,31105,4.191262692045284
45,1980s,854907,32270,4.137310841998018
46,1980s,777772,29802,4.091358392948062
47,1980s,763418,29696,4.028833483098381
48,1980s,761877,29127,3.997834296087164
49,1980s,759178,28841,3.910629654705484
50,1980s,819987,30787,3.867790586923939
51,1980s,715049,27312,3.830737473935353
52,1980s,750163,27985,3.7726974004316394
53,1980s,763841,27374,3.68699768669134
54,1980s,752522,26794,3.6463080149151788
55,1980s,771692,26713,3.575180253261664
56,1980s,721662,25013,3.537385923049849
57,1980s,716605,24352,3.4656889081153492
58,1980s,702628,23655,3.4113883875962814
59,1980s,679024,22499,3.34550914253399
60,1980s,691492,22706,3.3176956494073684
61,1980s,609596,20276,3.2168304910137206
62,1980s,615284,20166,3.222235585518232
63,1980s,571749,18500,3.1709963637890053
64,1980s,518924,16967,3.1550111384326027
65,1980s,506152,16565,3.1411058338206703
66,1980s,435432,14514,3.0813674695474838
67,1980s,409592,13322,3.092487157952304
68,1980s,368745,12173,3.060253020379937
69,1980s,332813,11194,3.04707147857806
70,1980s,324757,10637,3.0838842580760386
71,1980s,268452,9135,2.9989718832416967
72,1980s,266286,8607,2.9606175315262537
73,1980s,222637,7545,2.995930595543418
74,1980s,205556,6883,3.0124734865438128
75,1980s,189039,6352,3.095054459661763
76,1980s,164051,5593,3.011063632650822
77,1980s,144087,4951,3.0434043321049087
78,1980s,134855,4654,3.0391754106262283
79,1980s,116313,4019,3.095681480144094
80,1980s,113803,3814,3.03642258991415
81,1980s,92677,3153,3.114828921954746
82,1980s,80745,2788,3.116960802526472
83,1980s,71850,2500,2.9705775922059847
84,1980s,65917,2302,3.133106785806393
85,1980s,60537,1981,3.0555197647719576
86,1980s,52104,1740,3.0754836480884387
87,1980s,43330,1498,3.1360027694438033
88,1980s,42795,1316,3.1275849982474586
89,1980s,28255,1040,2.8963723234825696
90,1980s,21528,703,3.266164994425864
91,1980s,5332,175,2.9722430607651913
92,1980s,10873,337,3.0916030534351147
93,1980s,24397,1092,3.4292331024306266
94,1980s,40988,1254,2.9902898409290524
95,1980s,15988,431,2.4904928696522393
1,1990s,71493,3452,5.781614983285077
2,1990s,101719,4860,5.791671172543969
3,1990s,113203,5418,5.309735607713576
4,1990s,131870,6310,5.465094411162508
5,1990s,158695,7349,5.463751220895428
